0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.97
0.00,-0.00,1.00
0.01,-0.00,0.97
0.00,-0.00,0.97
0.00,-0.00,1.01
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.97
0.01,-0.00,1.00
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.97
0.01,-0.00,1.00
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,1.00
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.99
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,1.00
0.01,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,1.01
0.01,-0.00,0.96
0.01,-0.00,0.97
0.00,-0.00,1.01
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,1.00
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,1.00
0.00,-0.00,0.96
0.01,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.99
0.01,-0.00,0.96
0.00,-0.00,0.99
0.00,-0.00,1.00
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,1.00
0.01,-0.00,0.99
0.01,-0.00,0.96
0.00,-0.00,0.98
0.01,-0.00,1.00
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,1.00
0.00,-0.00,0.97
0.01,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,0.99
0.01,-0.00,1.00
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,1.00
0.01,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,1.00
0.00,-0.00,0.98
0.00,-0.00,0.96
0.01,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,1.00
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,1.00
0.01,-0.00,0.96
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,1.00
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,1.00
0.00,-0.00,0.96
0.01,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,1.00
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,1.00
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.97
0.01,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,1.00
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,1.00
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,1.00
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,1.00
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.96
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,1.00
0.01,-0.00,0.97
0.01,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,1.00
0.00,-0.00,0.97
0.01,-0.00,0.97
0.00,-0.00,0.97
0.00,-0.00,1.00
0.01,-0.00,0.97
0.01,-0.00,0.96
0.00,-0.00,1.00
0.00,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,1.01
0.01,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,1.00
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,1.01
0.01,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,1.01
0.00,-0.00,0.99
0.01,-0.00,0.96
0.00,-0.00,0.97
0.01,-0.00,1.00
0.01,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,1.00
0.01,-0.00,0.99
0.00,-0.00,0.95
0.00,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.96
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,1.00
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,1.00
0.00,-0.00,0.96
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,1.00
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.97
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.96
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.97
0.01,-0.00,1.00
0.01,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,1.00
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,1.00
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.97
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,1.00
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,1.00
0.00,-0.00,0.98
0.01,-0.00,0.97
0.01,-0.00,1.00
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,1.00
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.97
0.00,-0.00,1.00
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,1.01
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,1.00
0.01,-0.00,0.97
0.00,-0.00,0.97
0.01,-0.00,1.00
0.00,-0.00,0.97
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,1.00
0.01,-0.00,1.00
0.01,-0.00,0.96
0.00,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.97
0.01,-0.00,1.00
0.00,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,1.00
0.00,-0.00,1.00
0.00,-0.00,1.00
0.01,-0.00,0.96
0.00,-0.00,1.00
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,1.00
0.00,-0.00,0.97
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,1.00
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,1.00
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,1.00
0.00,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,1.00
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.97
0.01,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,1.00
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,1.00
0.00,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,1.00
0.01,-0.00,0.98
0.01,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.96
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,1.00
0.00,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,1.00
0.00,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,1.00
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.97
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.97
0.01,-0.00,0.98
0.00,-0.00,1.00
0.00,-0.00,0.98
0.01,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.99
0.01,-0.00,0.98
0.01,-0.00,0.98
0.01,-0.00,1.00
0.00,-0.00,0.99
0.01,-0.00,0.97
0.00,-0.00,0.99
0.00,-0.00,1.00
0.00,-0.00,0.97
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.99
0.00,-0.00,0.98
0.00,-0.00,0.97
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.97
0.00,-0.00,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.98
0.00,-0.00,0.98
0.01,-0.00,0.99
0.01,-0.00,0.98
0.00,-0.00,0.99
0.01,-0.00,0.99
0.00,-0.00,0.97
0.01,-0.00,0.99
0.01,-0.00,0.96
0.00,-0.00,0.98
0.01,-0.00,0.99
